Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,symptom_list,symptoms_text,severity_score,num_symptoms
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,"['itching', 'skin_rash', 'nodal_skin_eruptions', 'dischromic _patches']",itching  skin_rash  nodal_skin_eruptions  dischromic _patches,8,4
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,"['skin_rash', 'nodal_skin_eruptions', 'dischromic _patches']", skin_rash  nodal_skin_eruptions  dischromic _patches,7,3
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,"['itching', 'nodal_skin_eruptions', 'dischromic _patches']",itching  nodal_skin_eruptions  dischromic _patches,5,3
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,"['itching', 'skin_rash', 'dischromic _patches']",itching  skin_rash  dischromic _patches,4,3
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,"['itching', 'skin_rash', 'nodal_skin_eruptions']",itching  skin_rash  nodal_skin_eruptions,8,3
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,"['continuous_sneezing', 'shivering', 'chills', 'watering_from_eyes']", continuous_sneezing  shivering  chills  watering_from_eyes,16,4
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,"['shivering', 'chills', 'watering_from_eyes']", shivering  chills  watering_from_eyes,12,3
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,"['continuous_sneezing', 'chills', 'watering_from_eyes']", continuous_sneezing  chills  watering_from_eyes,11,3
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,"['continuous_sneezing', 'shivering', 'watering_from_eyes']", continuous_sneezing  shivering  watering_from_eyes,13,3
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,"['continuous_sneezing', 'shivering', 'chills']", continuous_sneezing  shivering  chills,12,3
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain']", stomach_pain  acidity  ulcers_on_tongue  vomiting  cough  chest_pain,28,6
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,"['stomach_pain', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain']", stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain,25,5
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,"['stomach_pain', 'acidity', 'vomiting', 'cough', 'chest_pain']", stomach_pain  acidity  vomiting  cough  chest_pain,24,5
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'cough', 'chest_pain']", stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain,23,5
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'chest_pain']", stomach_pain  acidity  ulcers_on_tongue  vomiting  chest_pain,24,5
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'cough']", stomach_pain  acidity  ulcers_on_tongue  vomiting  cough,21,5
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,"['acidity', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain']", acidity  ulcers_on_tongue  vomiting  cough  chest_pain,23,5
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']",itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,26,7
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"['vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']", vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,25,6
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"['itching', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']",itching  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,21,6
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"['itching', 'vomiting', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']",itching  vomiting  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,23,6
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"['itching', 'vomiting', 'yellowish_skin', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']",itching  vomiting  yellowish_skin  loss_of_appetite  abdominal_pain  yellowing_of_eyes,21,6
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'abdominal_pain', 'yellowing_of_eyes']",itching  vomiting  yellowish_skin  nausea  abdominal_pain  yellowing_of_eyes,22,6
